9.95	4.5141	001	2015-08-07_16-04-51	Scen::EN2NL domain=IT resegment=1 	skuska
11.1	5.2157	007	2015-08-09_19-16-15	Scen::EN2NL domain=IT resegment=1 coref=0	
11.76	5.3904	009	2015-08-09_19-35-16	Scen::EN2NL resegment=1 coref=0	
11.78	5.3892	010	2015-08-09_19-52-34	Scen::EN2NL resegment=1 coref=treex-relat	
10.55	4.6536	011	2015-08-09_20-09-36	Scen::EN2NL resegment=1 coref=treex-relat+other	
11.79	5.3891	012	2015-08-09_20-26-09	Scen::EN2NL resegment=1 coref=stanford+treex-relat	
11.76	5.3821	013	2015-08-09_20-43-33	Scen::EN2NL resegment=1 coref=bart+treex-relat	
