11.12	5.0906	001	2015-08-12_05-57-42	Scen::EN2CS resegment=1 coref=0	
11.45	5.1392	002	2015-08-12_06-02-06	Scen::EN2CS resegment=1 coref=treex-relat	
11.54	5.1578	003	2015-08-12_06-06-19	Scen::EN2CS resegment=1 coref=treex-relat+other	
11.48	5.1516	005	2015-08-12_06-15-45	Scen::EN2CS resegment=1 coref=bart+treex-relat	
11.45	5.1425	006	2015-08-12_06-42-55	Scen::EN2CS resegment=1 coref=stanford+treex-relat	
11.45	5.1425	007	2015-08-12_07-17-15	Scen::EN2CS resegment=1 coref=stanford+treex-relat	
